Date,GOOG,GS
2013-06-18,-0.0159556143153,-0.00024364097159
2013-06-19,-6.66583849548e-05,0.0160311730557
2013-06-20,0.0180166114893,0.0395727021791
2013-06-21,0.00432497894453,0.00752028583399
2013-06-24,0.0128076750829,0.0230136700328
2013-06-25,0.0041445466115,-0.0148961125192
2013-06-26,-0.0085274421185,0.00923113582446
2013-06-27,-0.00389934524484,-0.012051270904
2013-06-28,-0.00374840250394,0.0149421113111
2013-07-01,-0.00845839473741,-0.00329489415525
2013-07-02,0.0063129679394,0.0054996166868
2013-07-03,-0.00464785794221,0.00325736680853
2013-07-05,-0.00790159119053,-0.0183373317179
2013-07-08,-0.0128163594947,-0.00370581864129
2013-07-09,-0.000165741269618,-0.0199439636091
2013-07-10,-0.000827814827461,0.00712315576629
2013-07-11,-0.015485081537,-0.0119206464649
2013-07-12,-0.00299024976261,-0.0149896535613
2013-07-15,-0.00182766916848,-0.0177300621523
2013-07-16,0.00552408753785,0.0172241289646
2013-07-17,0.00115397863922,-0.00780182018975
2013-07-18,0.00864192324837,-0.0156040364356
2013-07-19,0.0157037491366,-0.00182527871772
2013-07-22,-0.0154825454209,-0.0113684195677
2013-07-23,0.00763440280338,-6.01138264136e-05
2013-07-24,0.000996818710066,0.0073921557133
2013-07-25,0.0171228436471,-0.00524386903269
2013-07-26,0.0026543442118,0.00393325304737
2013-07-29,0.00349097392106,0.0128087032973
2013-07-30,-0.00970903847524,0.0045558443115
2013-07-31,0.00357080182901,-0.00975434988799
2013-08-01,-0.0182146057802,-0.020657988583
2013-08-02,-0.00259214579794,-0.000775504407229
2013-08-05,0.00173481966045,-0.00415881691523
2013-08-06,0.00940247511102,0.0214832412675
2013-08-07,0.00664682637466,0.00813705937618
2013-08-08,-0.00225170672806,0.00374600933444
2013-08-09,0.00252697072764,0.00437915296909
2013-08-12,0.00553347848967,0.00272126849192
2013-08-13,0.00483409772575,-0.012338917885
2013-08-14,0.0131522944936,0.00226527581016
2013-08-15,0.0118069519214,0.0161119519699
2013-08-16,0.00320922216189,0.000560166679994
2013-08-19,-0.0100964299091,0.012797067324
2013-08-20,0.000265750000121,-0.00582847846298
2013-08-21,-0.00449770225214,0.0155941450824
2013-08-22,-0.00501310760034,-0.0144282195352
2013-08-23,0.00402195600356,0.0047904781804
2013-08-26,0.00440915960164,0.00474984364484
2013-08-27,0.0191024709594,0.030477047432
2013-08-28,0.0018856045289,-0.00156898403606
2013-08-29,-0.00804274045918,-0.00429606045305
2013-08-30,0.0100719808639,0.00985998445803
2013-09-03,-0.0156674534684,-0.0169939855591
2013-09-04,-0.01290687497,-0.0062926137592
2013-09-05,-0.00901587432172,-0.00275336074779
2013-09-06,-2.2706198635e-05,-0.00312782994499
2013-09-09,-0.00953780173393,-0.0177440651166
2013-09-10,-0.000697660883987,-0.0342133623423
2013-09-11,-0.00839103732617,0.000484687372634
2013-09-12,0.00350477399489,0.0104682635117
2013-09-13,0.00448783238281,-0.00396337354976
2013-09-16,0.00147563130821,-0.0181404510278
2013-09-17,0.00186209565669,-0.00232946396652
2013-09-18,-0.0190519609642,-0.00380815955269
2013-09-19,0.00548755934073,0.00166884559382
2013-09-20,-0.00522633701971,-0.011605312909
2013-09-23,0.018736606002,0.0272314707026
2013-09-24,-0.000383400717864,0.0139902939465
2013-09-25,0.010954916854,0.00406631628592
2013-09-26,-0.0010703752491,0.000123263933614
2013-09-27,0.00203101481584,0.0152642262663
2013-09-30,0.000548004573963,0.0103659686974
2013-10-01,-0.0125028135725,-0.0049685141448
2013-10-02,-0.00111483608416,0.0020798001942
2013-10-03,0.0135830398937,0.0116033905739
2013-10-04,0.00428731815501,0.00191634243373
2013-10-07,0.00763502644177,0.0149108766452
2013-10-08,0.0141389968074,0.00784055589945
2013-10-09,-0.00255883214056,-0.00900025588396
2013-10-10,-0.0142587672391,-0.022593455641
2013-10-11,-0.00430046655573,-0.0124375333633
2013-10-14,-0.00470260682459,0.0033863871603
2013-10-15,-0.00668929142242,0.0116094735653
2013-10-16,-0.017839010799,-0.0284745420791
2013-10-17,0.0103961669748,0.024823092411
2013-10-18,-0.121236694047,-0.00233156076139
2013-10-21,0.00808332122734,-0.0067597239276
2013-10-22,-0.00367431574343,0.00326533332802
2013-10-23,-0.0236666306282,0.00957267938905
2013-10-24,0.00571402482183,-0.0138784769715
2013-10-25,0.0101950234925,-0.0131407881696
2013-10-28,0.000197071417823,0.0039640776243
2013-10-29,-0.0204971450576,-0.00407133295906
2013-10-30,0.00564813594372,0.000370237321076
2013-10-31,-0.000155273327835,0.00739775660999
2013-11-01,0.00344681261907,-0.00734343168967
2013-11-04,0.000906321403169,-0.00680314174048
2013-11-05,0.00449331936336,0.00747148266777
2013-11-06,-0.00120263473282,-0.00960131439496
2013-11-07,0.0146832861895,0.024304715111
2013-11-08,-0.00795255854373,-0.0216338687212
2013-11-11,0.00538298533022,-0.00408934821455
2013-11-12,-0.00117613587344,0.00583214264149
2013-11-13,-0.0200393172137,-0.000306879721933
2013-11-14,-0.00266601683593,-0.00159310935379
2013-11-15,0.00161571015714,-0.00729924646756
2013-11-18,0.001948590697,-0.00772573428223
2013-11-19,0.00619385949141,-0.00552228477948
2013-11-20,0.00282693526478,0.00969700271287
2013-11-21,-0.0113725167842,-0.0123900563329
2013-11-22,0.00211264204128,-0.00612730001497
2013-11-25,-0.0134235553798,-0.00814248911956
2013-11-26,-0.0117912264783,0.00856940364486
2013-11-27,-0.0044210355072,-0.0043395699796
2013-11-29,0.00332213849036,-0.00426187394042
2013-12-02,0.00484589732374,-0.00459579598732
2013-12-03,0.00115831670639,0.0099375050291
2013-12-04,-0.00464947602133,-0.00385295659812
2013-12-05,0.000794493534182,0.0189659280427
2013-12-06,-0.0117117646378,-0.00986787958296
2013-12-09,-0.00767063383111,-0.00274343373543
2013-12-10,-0.00601105620158,-0.0121369090629
2013-12-11,0.00684128725547,0.0127087661377
2013-12-12,0.00685070870093,-0.00433669739717
2013-12-13,0.00864448685424,-0.000356300881857
2013-12-16,-0.0113609298736,-0.0149751216942
2013-12-17,0.00291631579424,0.002698055687
2013-12-18,-0.0137266230369,-0.0248798381261
2013-12-19,-0.00135339991615,0.000400479265534
2013-12-20,-0.0130835028654,-0.00222653434725
2013-12-23,-0.0129853600977,-0.00742334247007
2013-12-24,0.00293205600248,0.00175974819525
2013-12-26,-0.00502925100555,-0.00164348695907
2013-12-27,-0.000840516335743,0.000567003275181
2013-12-30,0.00805797562266,0.00352820241612
2013-12-31,-0.0100382964027,-0.00863138222504
